日期,股票代码,名称,收盘价,收盘价,,,,,,,,,,收益率
2021/1/7,'000858,五 粮 液,330,330,,,,,,,,,,
2021/1/6,'000858,五 粮 液,328.3,328.3,0.00516483,0.000597897,0.024401564,,,0.000595436,,,,
2021/1/5,'000858,五 粮 液,319.98,319.98,0.025669331,0.024451928,,,,,,,,
2021/1/4,'000858,五 粮 液,298.05,298.05,0.070997236,,,,,,,,,
2020/12/31,'000858,五 粮 液,291.85,291.85,0.021021286,,,,,,,,,
2020/12/30,'000858,五 粮 液,286.88,286.88,0.017175962,,,,,,,,,
2020/12/29,'000858,五 粮 液,281,281,0.020709341,,,,,,,,,
2020/12/28,'000858,五 粮 液,285.95,285.95,-0.017462301,,,,,,,,,
2020/12/25,'000858,五 粮 液,275.92,275.92,0.035706002,,,,,,,,,
2020/12/24,'000858,五 粮 液,275.32,275.32,0.002176911,,,,,,,,,
2020/12/23,'000858,五 粮 液,278.29,278.29,-0.010729678,,,,,,,,,
2020/12/22,'000858,五 粮 液,282.38,282.38,-0.014589946,,,,,,,,,
2020/12/21,'000858,五 粮 液,281.91,281.91,0.001665811,,,,,,,,,
2020/12/18,'000858,五 粮 液,276.86,276.86,0.018075908,,,,,,,,,
2020/12/17,'000858,五 粮 液,277.81,277.81,-0.003425464,,,,,,,,,
2020/12/16,'000858,五 粮 液,274.33,274.33,0.012605666,,,,,,,,,
2020/12/15,'000858,五 粮 液,270.8,270.8,0.01295122,,,,,,,,,
2020/12/14,'000858,五 粮 液,273.15,273.15,-0.008640554,,,,,,,,,
2020/12/11,'000858,五 粮 液,267.52,267.52,0.020826765,,,,,,,,,
2020/12/10,'000858,五 粮 液,267.67,267.67,-0.000560549,,,,,,,,,
2020/12/9,'000858,五 粮 液,269.72,269.72,-0.007629505,,,,,,,,,
2020/12/8,'000858,五 粮 液,272,272,-0.008417682,,,,,,,,,
2020/12/7,'000858,五 粮 液,270.24,270.24,0.006491613,,,,,,,,,
2020/12/4,'000858,五 粮 液,267.19,267.19,0.011350437,,,,,,,,,
2020/12/3,'000858,五 粮 液,261.63,261.63,0.021028724,,,,,,,,,
2020/12/2,'000858,五 粮 液,260.55,260.55,0.004136511,,,,,,,,,
2020/12/1,'000858,五 粮 液,257.99,257.99,0.009873957,,,,,,,,,
2020/11/30,'000858,五 粮 液,254,254,0.015586557,,,,,,,,,
2020/11/27,'000858,五 粮 液,262.3,262.3,-0.03215462,,,,,,,,,
2020/11/26,'000858,五 粮 液,260.58,260.58,0.006578971,,,,,,,,,
2020/11/25,'000858,五 粮 液,262.97,262.97,-0.009130041,,,,,,,,,
2020/11/24,'000858,五 粮 液,271.79,271.79,-0.032989752,,,,,,,,,
2020/11/23,'000858,五 粮 液,272.58,272.58,-0.00290244,,,,,,,,,
2020/11/20,'000858,五 粮 液,268.47,268.47,0.015192973,,,,,,,,,
2020/11/19,'000858,五 粮 液,264.7,264.7,0.014142067,,,,,,,,,
2020/11/18,'000858,五 粮 液,263.72,263.72,0.003709175,,,,,,,,,
2020/11/17,'000858,五 粮 液,269.1,269.1,-0.020195123,,,,,,,,,
2020/11/16,'000858,五 粮 液,273,273,-0.014388737,,,,,,,,,
2020/11/13,'000858,五 粮 液,265,265,0.029741969,,,,,,,,,
2020/11/12,'000858,五 粮 液,267.65,267.65,-0.009950331,,,,,,,,,
2020/11/11,'000858,五 粮 液,268.9,268.9,-0.004659406,,,,,,,,,
2020/11/10,'000858,五 粮 液,272.8,272.8,-0.014399363,,,,,,,,,
2020/11/9,'000858,五 粮 液,270,270,0.010316967,,,,,,,,,
